Novo,Tipo,TipoAnuncio,Rua,Metragem,Comodos,Aluguel,Total,Bairro,Cidade,Lat,Long
0,Apartamento,Nenhum,Rua Nicolau Vorobi,50,3,1200,1757,Fazendinha,Curitiba,0.0,0.0
0,Apartamento,Nenhum,Rua Júlio Bartolomeu Taborda Luiz,80,2,1300,1381,Tingui,Curitiba,-25.3909012,-49.2111392
1,Apartamento,Exclusivo,Rua Iapó,55,1,1200,1429,Prado Velho,Curitiba,-25.4464887,-49.2550658
1,Apartamento,Nenhum,Avenida Visconde de Guarapuava,39,1,980,1346,Centro,Curitiba,-25.4375075,-49.2706303
0,Apartamento,Originals,Rua Visconde do Serro Frio,67,2,1800,2349,Novo Mundo,Curitiba,-25.4862844,-49.2996563
0,Studio e kitnet,Originals,Rua Pedro Ivo,28,1,1090,1369,Centro,Curitiba,-25.432472,-49.2668289
1,Apartamento,Exclusivo,Rua Frederico Müller,52,2,1289,1678,Campo Comprido,Curitiba,-25.4549867,-49.3235033
0,Studio e kitnet,Exclusivo,Rua Doutor Faivre,24,1,999,1312,Centro,Curitiba,-25.4281438,-49.2618004
0,Apartamento,Nenhum,Rua Theodoro Makiolka,40,2,996,1364,Santa Cândida,Curitiba,-25.3742582,-49.2233065
0,Apartamento,Nenhum,Rua Mauá,60,3,2250,2987,Alto da Glória,Curitiba,-25.4219561,-49.2572035
0,Apartamento,Nenhum,Avenida Sete de Setembro,34,1,784,1135,Rebouças,Curitiba,-25.4401194,-49.2729475
1,Casa em Condomínio,Exclusivo,Rua Luiz Parigot de Souza,145,4,2490,2750,Portão,Curitiba,-25.4757095,-49.2946625
0,Casa,Nenhum,Rua Sesinando Chaves,300,4,2625,2776,Cajuru,Curitiba,-25.4470875,-49.2253864
0,Apartamento,Nenhum,Rua Professora Georgina Mongruel,60,2,1360,1639,Santa Cândida,Curitiba,-25.3778583,-49.2352191
0,Studio e kitnet,Exclusivo,Rua Pastor Antônio Cardona de Aguiar,28,1,850,881,Novo Mundo,Curitiba,0.0,0.0
0,Apartamento,Nenhum,Rua Wilsom Gomes Ramos,42,2,725,1098,Abranches,Curitiba,0.0,0.0
0,Studio e kitnet,Nenhum,Rua Professor Nilo Brandão,12,1,1020,1099,São Lourenço,Curitiba,-25.3892226,-49.2635362
0,Apartamento,Nenhum,Avenida Paraná,55,1,1105,1682,Bacacheri,Curitiba,-25.3930162,-49.2399566
0,Apartamento,Nenhum,Travessa Capitão Clementino Paraná,180,3,3750,6310,Água Verde,Curitiba,-25.4538876,-49.2860627
0,Studio e kitnet,Originals,Rua Nunes Machado,29,1,1700,21762,Centro,Curitiba,-25.438058,-49.2751876
0,Studio e kitnet,Nenhum,Rua Domingos Gabardo,32,1,1111,1251,Capão Raso,Curitiba,-25.5005694,-49.2983352
0,Apartamento,Nenhum,Rua João Koleski,31,1,1500,1854,Cidade Industrial,Curitiba,-25.4392812,-49.3513049
0,Apartamento,Exclusivo,Avenida Visconde de Guarapuava,260,3,8000,11802,Batel,Curitiba,-25.4440166,-49.2871886
0,Apartamento,Exclusivo,Rua Miguel Jorge Nasser,54,3,816,1205,Tingui,Curitiba,-25.3874336,-49.2266443
0,Apartamento,Exclusivo,Avenida dos Estados,71,3,1900,2332,Portão,Curitiba,-25.4663425,-49.2857532
0,Casa,Exclusivo,Rua Sargento Luiz Gonzaga Martins Ribas,65,2,1500,1559,Uberaba,Curitiba,-25.4911826,-49.2045311
0,Apartamento,Nenhum,Rua Synval Stocchero,56,2,1020,1337,Cidade Industrial,Curitiba,0.0,0.0
0,Casa,Exclusivo,Rua Ebraim Sebastião de Castro,125,4,2600,2756,Santa Cândida,Curitiba,-25.3724625,-49.2436724
0,Apartamento,Originals,Rua Paulo Ziliotto,42,1,2000,2649,Campina do Siqueira,Curitiba,-25.4374917,-49.3130636
0,Casa,Nenhum,Rua Engenheiros Rebouças,212,4,5440,5781,Rebouças,Curitiba,-25.4441556,-49.2654948
0,Studio e kitnet,Exclusivo,Rua Baltazar Carrasco dos Reis,40,1,1547,1895,Rebouças,Curitiba,-25.450205,-49.269429
0,Studio e kitnet,Nenhum,Rua Alfredo Muraro,40,1,550,570,Cascatinha,Curitiba,0.0,0.0
0,Apartamento,Exclusivo,Rua Synval Stocchero,43,1,1105,1425,Cidade Industrial,Curitiba,0.0,0.0
0,Casa,Exclusivo,Rua Brasílio Ribas,230,4,7147,7563,Novo Mundo,Curitiba,-25.4922865,-49.2762958
0,Casa,Nenhum,Rua das Carmelitas,40,1,680,1040,Boqueirão,Curitiba,-25.4989093,-49.2319478
0,Apartamento,Exclusivo,Rua Lothario Boutin,45,2,1500,1914,Pinheirinho,Curitiba,-25.5099915,-49.2884646
0,Studio e kitnet,Nenhum,Rua Cláudio Mendes Sobrinho,25,1,792,1021,Santa Cândida,Curitiba,-25.3641933,-49.2169081
0,Apartamento,Nenhum,Rua Professor Algacyr Munhoz Mader,45,2,1275,1322,Cidade Industrial de Curitiba,Curitiba,-25.4956755,-49.3223195
0,Casa,Nenhum,Avenida Nossa Senhora da Luz,300,5,11250,12124,Hugo Lange,Curitiba,-25.4118075,-49.2410993
0,Casa,Nenhum,Rua Daniel Brambila,150,3,3200,3388,Capão Raso,Curitiba,0.0,0.0
0,Casa,Nenhum,Alameda Júlia da Costa,360,3,4690,5181,Bigorrilho,Curitiba,-25.4309041,-49.2876434
0,Apartamento,Exclusivo,Rua Alberto Otto,45,2,875,1219,Santa Cândida,Curitiba,-25.3550711,-49.2478175
0,Apartamento,Exclusivo,Rua Alberto Otto,45,2,875,1219,Santa Cândida,Curitiba,-25.3550711,-49.2478175
0,Apartamento,Exclusivo,Rua Padre Anchieta,43,1,1280,1645,Campina do Siqueira,Curitiba,-25.4361983,-49.3073031
0,Apartamento,Exclusivo,Rua Thereza Lopes Skroski,48,2,680,956,Santa Cândida,Curitiba,-25.3511016,-49.2343564
0,Studio e kitnet,Exclusivo,Rua Andorinhas,25,1,800,952,Novo Mundo,Curitiba,-25.4948705,-49.2870055
