Novo,Tipo,TipoAnuncio,Rua,Metragem,Comodos,Aluguel,Total,Bairro,Cidade,Lat,Long,TicketM.Bairro,Std.Bairro,TicketM.Comodos,Std.Comodos,TicketM.Tipo,Std.Tipo,ZScore.Bairro,ZScore.Comodos,ZScore.Tipo,Zscore,PredictOfModel,%PriceOfCityModel,PredictOfModelByRegion,%PriceOfRegioModel
1,Apartamento,Exclusivo,Avenida Visconde de Guarapuava,50,1,1100,1531,Centro,Curitiba,-25.4375075,-49.2706303,2668.6176470588234,3457.8088701820184,1643.8702290076335,1858.1809276690537,2224.125,1789.167544386054,-0.3289995745192647,-0.060742324564282656,-0.38740083463667074,-0.2590475779067394,1346.6845873152151,113.6866059373443,752.8539366190861,203.3594998354408
1,Apartamento,Exclusivo,Rua Nelsom Ferreira da Luz,60,3,1299,1828,Campo Comprido,Curitiba,0.0,0.0,1977.2222222222222,1073.5094058481484,3157.162162162162,2268.8736873082294,2224.125,1789.167544386054,-0.13900411250176803,-0.5858246625174924,-0.22140184760389714,-0.31541020754105253,2211.1774800595676,82.67088537600134,1554.3837866953947,117.6028736047428
1,Studio e kitnet,Nenhum,Rua Jorge Simão,32,1,1500,1583,Alto Boqueirão,Curitiba,-25.5330868,-49.247194,1372.3333333333333,261.9720086828616,1643.8702290076335,1858.1809276690537,1865.0,2651.1595261947805,0.8041571606289276,-0.03275796673039291,-0.106368552029291,0.22167688062308125,1772.5597984097737,89.30587286364981,761.930693958165,207.76167866088318
1,Casa,Exclusivo,Rua Anjo de Luz,145,1,1800,1956,Cidade Industrial,Curitiba,-25.4623098,-49.3433511,1344.75,455.09521980670064,1643.8702290076335,1858.1809276690537,3763.2631578947367,4000.668209929417,1.3431255117547165,0.16797598465500854,-0.4517403251309915,0.35312039042624455,2859.9691224589346,68.39234677884484,704.948828440614,277.46694810838693
1,Studio e kitnet,Originals,Avenida Visconde de Guarapuava,29,1,1900,2326,Centro,Curitiba,-25.4375075,-49.2706303,2668.6176470588234,3457.8088701820184,1643.8702290076335,1858.1809276690537,1865.0,2651.1595261947805,-0.0990851894716749,0.3670954538576856,0.17388617902660694,0.14729881447087256,2782.6026838294715,83.59080559783382,763.4434868480115,304.67219120608814
1,Casa em Condomínio,Nenhum,Rua Doutor Alarico Vieira de Alencar,279,4,8190,8708,Bacacheri,Curitiba,-25.4064177,-49.2233125,3556.1111111111113,2467.1432084723237,6822.210526315789,4565.208509038131,5532.545454545455,3824.068366638765,2.0882001787318143,0.4130784979373348,0.8303864473651315,1.1105550413447602,7629.054356768028,114.14258691543857,1847.236152257833,471.4069714019194
1,Apartamento,Nenhum,Rua Nilo Cairo,36,1,1400,1745,Centro,Curitiba,-25.4320125,-49.2619334,2668.6176470588234,3457.8088701820184,1643.8702290076335,1858.1809276690537,2224.125,1789.167544386054,-0.26711067087123425,0.05442407113672514,-0.2677921369093524,-0.16015957888128715,1265.0984693060182,137.93392706871558,759.9136367717031,229.63135750704276
1,Apartamento,Exclusivo,Rua Martim Afonso,153,3,2000,3519,Bigorrilho,Curitiba,-25.4350818,-49.3016891,2990.8888888888887,1485.266680132262,3157.162162162162,2268.8736873082294,2224.125,1789.167544386054,0.35556652429857466,0.1594790577641715,0.7237304321012213,0.4129253380546558,4225.375865390171,83.28253182927327,1507.4872071101536,233.43481678666498
1,Apartamento,Nenhum,Rua Coronel Ottoni Maciel,110,3,3500,4527,Vila Izabel,Curitiba,-25.4557185,-49.2928688,2969.0,2203.344730177282,3157.162162162162,2268.8736873082294,2224.125,1789.167544386054,0.7071067811865475,0.6037523576127328,1.2871209335457863,0.8659933574483555,3515.7063799122916,128.765019339099,1529.17057186462,296.04284069369226
1,Casa,Exclusivo,Rua Professor José Demeterco,60,2,1200,1324,Cajuru,Curitiba,0.0,0.0,1366.6153846153845,706.3281270605914,1968.030612244898,1272.6401768260293,3763.2631578947367,4000.668209929417,-0.06033369333985028,-0.5060586833358612,-0.6097139352472751,-0.3920354373076622,1342.991324962784,98.58589369791274,1151.097540174163,115.02066104664567
